the_geom,cartodb_id,pk,state,population,vehicle_miles_traveled_millions_,fatal_crashes,deaths,deaths_per_100000_population,deaths_per_100_million_vehicle_miles_traveled
,1,1,Alabama,4874747,69277,864,948,19.4,1.37
,2,2,Alaska,739795,5028,75,79,10.7,1.57
,3,3,Arizona,7016270,67821,919,1000,14.3,1.47
,4,4,Arkansas,3004279,35746,457,493,16.4,1.38
,5,5,California,39536653,353868,3304,3602,9.1,1.02
,6,6,Colorado,5607154,53750,600,648,11.6,1.21
,7,7,Connecticut,3588184,32126,260,278,7.7,0.87
,8,8,Delaware,961939,10242,112,119,12.4,1.16
,9,9,District of Columbia,693972,3550,29,31,4.5,0.87
,10,10,Florida,20984400,215810,2922,3112,14.8,1.44
,11,11,Georgia,10429379,122398,1440,1540,14.8,1.26
,12,12,Hawaii,1427538,10513,96,107,7.5,1.02
,13,13,Idaho,1716943,17676,223,244,14.2,1.38
,14,14,Illinois,12802023,107369,1005,1097,8.6,1.02
,15,15,Indiana,6666818,80282,836,914,13.7,1.14
,16,16,Iowa,3145711,34241,301,330,10.5,0.96
,17,17,Kansas,2913123,32504,407,461,15.8,1.42
,18,18,Kentucky,4454189,50284,721,782,17.6,1.56
,19,19,Louisiana,4684333,48094,696,760,16.2,1.58
,20,20,Maine,1335907,15063,163,172,12.9,1.14
,21,21,Maryland,6052177,59417,511,550,9.1,0.93
,22,22,Massachusetts,6859819,60560,336,350,5.1,0.58
,23,23,Michigan,9962311,103080,939,1030,10.3,1
,24,24,Minnesota,5576606,57922,340,357,6.4,0.62
,25,25,Mississippi,2984100,41387,614,690,23.1,1.67
,26,26,Missouri,6113532,74005,863,930,15.2,1.26
,27,27,Montana,1050493,12738,169,186,17.7,1.46
,28,28,Nebraska,1920076,20828,210,228,11.9,1.09
,29,29,Nevada,2998039,27803,290,309,10.3,1.11
,30,30,New Hampshire,1342795,13467,98,102,7.6,0.76
,31,31,New Jersey,9005644,76550,591,624,6.9,0.82
,32,32,New Mexico,2088070,28171,340,379,18.2,1.35
,33,33,New York,19849399,129146,933,999,5,0.77
,34,34,North Carolina,10273419,117754,1306,1412,13.7,1.2
,35,35,North Dakota,755393,9760,105,115,15.2,1.18
,36,36,Ohio,11658609,117194,1094,1179,10.1,1.01
,37,37,Oklahoma,3930864,49228,611,655,16.7,1.33
,38,38,Oregon,4142776,37528,400,437,10.5,1.16
,39,39,Pennsylvania,12805537,104022,1083,1137,8.9,1.09
,40,40,Rhode Island,1059639,7997,76,83,7.8,1.04
,41,41,South Carolina,5024369,54859,924,988,19.7,1.8
,42,42,South Dakota,869666,9341,111,129,14.8,1.38
,43,43,Tennessee,6715984,80128,959,1040,15.5,1.3
,44,44,Texas,28304596,270621,3343,3722,13.1,1.38
,45,45,Utah,3101833,31874,247,273,8.8,0.86
,46,46,Vermont,623657,7436,63,69,11.1,0.93
,47,47,Virginia,8470020,85335,783,839,9.9,0.98
,48,48,Washington,7405743,61569,536,565,7.6,0.92
,49,49,West Virginia,1815857,20106,280,303,16.7,1.51
,50,50,Wisconsin,5795483,64160,557,613,10.6,0.96
,51,51,Wyoming,579315,9492,105,123,21.2,1.3
,52,52,U.S. total,325719178,3213000,34247,37133,11.4,1.16
